Datetime,StationId,AQI,AQI_Bucket,Risk,Hour,Month,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Predicted_Risk
2019-09-18 02:00:00,MP001,105.0,Moderate,Moderate,2,9,23.25,38.75,9.98,34.98,26.72,55.65,0.85,8.45,22.4,,,,
2019-09-18 03:00:00,MP001,105.0,Moderate,Moderate,3,9,15.0,32.5,10.05,28.45,23.33,56.6,0.69,8.47,26.52,,,,
2019-09-18 04:00:00,MP001,105.0,Moderate,Moderate,4,9,14.75,25.75,9.93,23.05,20.33,58.12,0.56,8.43,27.92,,,,
2019-09-18 05:00:00,MP001,105.0,Moderate,Moderate,5,9,13.25,25.5,9.3,19.88,18.12,58.02,0.52,8.2,33.9,,,,
2019-09-18 06:00:00,MP001,105.0,Moderate,Moderate,6,9,10.5,20.75,10.93,25.17,22.23,53.98,0.64,8.47,26.48,,,,
2019-09-18 07:00:00,MP001,105.0,Moderate,Moderate,7,9,12.25,32.25,11.85,30.23,25.73,51.35,0.73,8.4,23.82,,,,
2019-09-18 08:00:00,MP001,57.0,Satisfactory,Low,8,9,22.0,42.75,14.35,32.97,29.23,49.02,0.89,8.45,27.3,,,,
2019-09-18 09:00:00,MP001,44.0,Good,Low,9,9,21.0,45.25,12.03,25.15,23.15,51.23,0.89,8.35,37.83,,,,
2019-09-18 10:00:00,MP001,54.0,Satisfactory,Low,10,9,18.5,48.5,12.25,26.93,24.27,48.47,1.09,8.55,36.32,,,,
2019-09-18 11:00:00,MP001,56.0,Satisfactory,Low,11,9,18.75,55.5,13.35,26.98,25.17,45.23,1.11,8.67,47.45,,,,
2019-09-18 12:00:00,MP001,64.0,Satisfactory,Low,12,9,17.0,55.0,14.7,30.85,28.35,39.28,1.29,9.2,37.1,,,,
2019-09-18 13:00:00,MP001,80.0,Satisfactory,Low,13,9,23.25,51.0,18.28,39.75,35.98,32.52,1.59,9.02,23.4,,,,
2019-09-18 14:00:00,MP001,80.0,Satisfactory,Low,14,9,22.5,30.0,19.82,40.3,37.58,32.1,1.51,8.93,24.82,,,,
2019-09-18 15:00:00,MP001,80.0,Satisfactory,Low,15,9,16.75,26.5,11.07,32.2,26.12,41.65,1.03,8.82,39.95,,,,
2019-09-18 16:00:00,MP001,80.0,Satisfactory,Low,16,9,14.5,19.25,12.75,40.7,32.05,38.28,1.27,8.62,32.8,,,,
2019-09-18 17:00:00,MP001,80.0,Satisfactory,Low,17,9,19.5,28.25,15.0,41.2,34.12,38.12,1.49,9.05,33.38,,,,
2019-09-18 18:00:00,MP001,94.0,Satisfactory,Low,18,9,20.25,26.25,18.9,45.77,39.7,35.33,1.88,9.15,22.97,,,,
2019-09-18 19:00:00,MP001,105.0,Moderate,Moderate,19,9,22.0,34.0,31.5,53.0,53.8,26.9,2.4,9.38,11.95,,,,
2019-09-18 20:00:00,MP001,105.0,Moderate,Moderate,20,9,31.75,51.5,23.92,57.1,49.82,33.1,2.27,9.03,7.45,,,,
2019-09-18 21:00:00,MP001,110.0,Moderate,Moderate,21,9,28.5,43.25,32.7,57.25,57.02,31.32,2.79,9.22,4.6,,,,
2019-09-18 22:00:00,MP001,110.0,Moderate,Moderate,22,9,35.75,48.0,23.45,49.17,45.23,42.75,2.21,8.98,7.1,,,,
2019-09-18 23:00:00,MP001,110.0,Moderate,Moderate,23,9,24.0,39.0,20.12,41.42,38.42,47.9,1.95,8.88,10.18,,,,
2019-09-19 00:00:00,MP001,110.0,Moderate,Moderate,0,9,18.0,30.0,12.2,22.85,22.05,57.95,1.06,8.82,25.5,,,,
2019-09-19 01:00:00,MP001,110.0,Moderate,Moderate,1,9,5.0,12.0,9.95,20.5,18.97,58.23,0.46,7.72,31.7,,,,
2019-09-19 02:00:00,MP001,110.0,Moderate,Moderate,2,9,5.75,12.0,9.38,17.8,17.1,58.23,0.42,7.6,33.33,,,,
2019-09-19 03:00:00,MP001,110.0,Moderate,Moderate,3,9,7.5,12.5,9.47,15.38,15.85,59.12,0.4,6.75,34.9,,,,
2019-09-19 04:00:00,MP001,110.0,Moderate,Moderate,4,9,5.5,13.0,9.0,14.47,15.0,58.85,0.4,6.85,33.85,,,,
2019-09-19 05:00:00,MP001,103.0,Moderate,Moderate,5,9,4.0,11.25,9.43,15.68,16.02,58.67,0.44,7.15,31.27,,,,
2019-09-19 06:00:00,MP001,98.0,Satisfactory,Low,6,9,4.5,14.75,9.12,16.82,16.38,58.6,0.47,6.58,29.12,,,,
2019-09-19 07:00:00,MP001,53.0,Satisfactory,Low,7,9,7.5,17.0,10.35,20.75,19.45,56.73,0.55,6.85,29.12,,,,
2019-09-19 08:00:00,MP001,37.0,Good,Low,8,9,13.5,29.5,11.25,24.08,21.95,54.83,0.65,7.2,28.2,,,,
2019-09-19 09:00:00,MP001,38.0,Good,Low,9,9,20.5,40.25,12.07,24.1,22.65,54.12,0.77,8.47,28.35,,,,
2019-09-19 10:00:00,MP001,42.0,Good,Low,10,9,25.25,41.25,12.35,22.92,22.2,52.78,0.83,8.65,37.65,,,,
2019-09-19 11:00:00,MP001,46.0,Good,Low,11,9,18.0,41.75,11.93,22.35,21.57,50.65,0.8,9.22,46.0,,,,
2019-09-19 12:00:00,MP001,50.0,Good,Low,12,9,20.0,42.0,10.77,20.6,19.75,48.92,0.77,9.1,50.05,,,,
2019-09-19 13:00:00,MP001,50.0,Good,Low,13,9,17.75,43.25,10.98,21.32,20.25,44.85,0.78,8.9,50.4,,,,
2019-09-19 14:00:00,MP001,50.0,Good,Low,14,9,19.25,40.0,10.32,24.0,21.18,42.08,0.9,8.8,50.25,,,,
2019-09-19 15:00:00,MP001,50.0,Good,Low,15,9,16.0,45.5,9.53,22.23,19.55,41.3,0.86,8.65,48.58,,,,
2019-09-19 16:00:00,MP001,50.0,Good,Low,16,9,15.5,51.0,9.45,25.47,21.23,38.73,0.89,8.38,42.62,,,,
2019-09-19 17:00:00,MP001,52.0,Satisfactory,Low,17,9,22.75,70.5,10.35,30.6,24.7,36.5,1.04,8.2,40.12,,,,
2019-09-19 18:00:00,MP001,60.0,Satisfactory,Low,18,9,21.25,65.25,12.28,30.75,26.35,36.42,1.19,8.33,28.18,,,,
2019-09-19 19:00:00,MP001,94.0,Satisfactory,Low,19,9,20.25,68.25,21.35,40.65,38.97,28.02,1.88,8.35,14.47,,,,
2019-09-19 20:00:00,MP001,100.0,Satisfactory,Low,20,9,26.75,86.75,24.38,46.52,44.55,27.53,2.03,8.12,6.38,,,,
