Date,City,StationId,AQI,AQI_Bucket,Risk,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Predicted_Risk
2019-09-19,Bhopal,MP001,77.0,Satisfactory,Low,16.94,41.09,12.94,25.28,23.96,47.43,0.95,8.08,31.66,,,,
2019-09-20,Bhopal,MP001,76.0,Satisfactory,Low,15.29,43.1,11.93,26.05,23.56,42.29,0.95,7.52,30.93,,,,
2019-09-21,Bhopal,MP001,82.0,Satisfactory,Low,20.75,62.7,14.9,30.9,28.55,46.25,1.41,7.31,27.19,,,,
2019-09-22,Bhopal,MP001,90.0,Satisfactory,Low,11.21,42.45,12.44,25.74,23.8,44.52,1.16,5.82,38.87,,,,
2019-09-23,Bhopal,MP001,82.0,Satisfactory,Low,11.81,44.21,11.05,25.81,22.72,48.42,1.07,5.34,32.97,,,,
2019-09-24,Bhopal,MP001,80.0,Satisfactory,Low,17.7,53.29,9.59,28.48,22.95,40.42,1.18,4.96,38.57,,,,
2019-09-25,Bhopal,MP001,81.0,Satisfactory,Low,20.41,50.27,10.74,28.75,24.02,46.34,1.11,7.96,36.42,,,,
2019-09-26,Bhopal,MP001,77.0,Satisfactory,Low,17.21,31.31,14.75,27.96,26.86,47.0,1.05,9.32,28.2,,,,
2019-09-27,Bhopal,MP001,69.0,Satisfactory,Low,12.65,31.54,9.57,20.58,18.72,50.15,0.84,9.64,29.49,,,,
2019-09-28,Bhopal,MP001,52.0,Satisfactory,Low,3.4,16.32,8.05,14.11,14.05,47.07,0.64,6.72,37.28,,,,
2019-09-29,Bhopal,MP001,49.0,Good,Low,7.23,27.84,10.21,17.12,17.41,51.91,0.66,5.91,28.85,,,,
2019-09-30,Bhopal,MP001,56.0,Satisfactory,Low,8.7,36.97,13.93,22.35,23.21,46.82,0.7,8.9,26.74,,,,
2019-10-01,Bhopal,MP001,68.0,Satisfactory,Low,6.53,21.31,7.3,13.46,13.09,42.77,0.71,7.08,43.46,,,,
2019-10-02,Bhopal,MP001,75.0,Satisfactory,Low,20.86,72.34,10.44,27.86,23.31,37.95,0.87,7.08,50.24,,,,
2019-10-03,Bhopal,MP001,97.0,Satisfactory,Low,24.92,106.41,7.92,34.15,24.6,37.23,0.75,9.36,66.15,,,,
2019-10-04,Bhopal,MP001,112.0,Moderate,Moderate,28.1,122.06,9.29,33.99,25.63,36.82,1.04,8.53,65.06,,,,
2019-10-05,Bhopal,MP001,117.0,Moderate,Moderate,26.41,99.6,12.64,36.45,28.3,40.41,1.01,8.38,63.02,,,,
2019-10-06,Bhopal,MP001,101.0,Moderate,Moderate,32.5,90.64,10.19,34.81,26.8,16.79,1.19,9.9,40.2,,,,
2019-10-07,Bhopal,MP001,109.0,Moderate,Moderate,39.74,102.93,16.9,38.5,34.22,17.08,1.45,8.29,40.72,,,,
2019-10-08,Bhopal,MP001,143.0,Moderate,Moderate,52.66,130.64,6.13,34.1,23.13,18.88,1.26,11.29,77.47,,,,
